Loc,Mfg,item,description,ext_desc,avail_o/h ,Comm_O/H,RANK,AISLE_ZONEBIN,vendor_id,plu_number,product_description,case_pack_size,size_desc,tax_flag, retail_price ,sub_department_number,sub_category_number,brand_identity,_merge
,,114397,,,,,,,AGF,7261346003,SNUGGLE BLUE SPARKLE 4.43L,47,4.43LT,1,44.3,370,370001,SNUGGLE,right_only
,,1144,,,,,,,GOY,4133101144,GOYA PURO VIRGIN OLIVE OIL750M,9,750ML,1,54.6,290,290002,GOYA,right_only
,,11440,,,,,,,GON,5.01E+11,EL DORADO 15YRS RUM 750ML,12,750 ML,1,136.55,140,140003,EL DORADO,right_only
,,114405,,,,,,,AGF,2130017329,LIBBY FRUIT COCKTAIL 432G,12,432G,1,14.45,610,610002,LIBBYS,right_only
,,11441,,,,,,,GON,5.01E+11,EL DORADO CREAM LIQUER 750ML,12,750 ML,1,49.95,140,140003,EL DORADO,right_only
,,11442,,,,,,,GON,5.01E+11,DIAMOND RESERVE GOLD RUM 750ML,12,750ML,1,27.5,140,140003,DIAMOND,right_only
KT,,114421,MOTTS APPLE JC 8/64Z, ,1,0,B,999001,AGF,1480000034,MOTTS APPLE JUICE 1.89L,8,1.89L,1,21.05,190,190002,MOTTS,both
KT,,114421,MOTTS APPLE JC 8/64Z, ,1,0,B,999001,AGF,1480000034,MOTTS APPLE JUICE 1.89L,8,1.89L,1,21.05,190,190002,MOTTS,both
KT,,114488,MCCOR CHILI SEASON,MIX 24/1.25 OZ,1,0,E,999004,AGF,5210009150,MC CORMICK ORIGINAL CHILI 35G,24,35G,1,8.55,550,550006,MCCORMICK,both
,,11451,,,,,,,GON,8854401894,SOUTHERN COMFORT 1LT,12,1LT,1,83.95,140,140003,SOUTHERNCOMFORT,right_only
,,1146,,,,,,,GBR,2000514,TURKEY GIZZARD,30,1 LB,0,0,390,390001,TURKEY,right_only
,,11460064,,,,,,,NES,1887117300,NESTLE CHOC-NUT DRINK 250ML,24,250ML,1,2.95,190,190002,NESTLE,right_only
,,11460065,,,,,,,NES,1887117500,NESTLE PEANUT PUNCH 250ML,24,250ML,1,2.95,190,190002,NESTLE,right_only
,,11461,,,,,,,GON,72109419970,GOSLINGS GINGER BEER 355ML,24,355ML,1,5.99,140,140001,GOSLINGS,right_only
,,11465,,,,,,,GON,3.02E+11,GRAND MARNIER LIQ 70CL,12,70 CL,1,114.5,140,140003,GRAND MARNIET,right_only
,,11466,,,,,,,GON,7.80E+11,DIABLO DARK RED WINE 750ML,12,750ML,1,58.45,140,140002,DIABLO,right_only
,,11469,,,,,,,GON,3.35E+11,G DUB LA CUVEE BLANC 750ML,12,750ML,1,33.6,140,140002,GEORGE DUBOUEF,right_only
,,114694,,,,,,,AGF,5210009690,MC CORMICK  AU JUS GRAVY 28G,12,28G,1,7.9,550,550006,MCCORMICK,right_only
,,114769,,,,,,,AGF,5210003780,MC CORMICK CHICKEN GRAVY 24G,24,24G,1,7.45,550,550006,MCCORMICK,right_only
,,114785,,,,,,,AGF,5210002578,GRILL MATES MESQUITE MARI 30G,12,30G,1,8.05,550,550004,MC CORMICK,right_only
,,11482,,,,,,,GON,7.79E+11,SANTA JULIA MALBEC 75CL,12,75CL,1,34.2,140,140002,SANTA JULIA,right_only
,,11483,,,,,,,GON,7.79E+11,SANTA JULIA MERLOT 75CL,12,75CL,1,35.05,140,140002,SANTA JULIA,right_only
,,11484,,,,,,,GON,68658600165,SANTA RITA CHARDO 120 750ML,12,750ML,1,31.3,140,140002,SANTA RITA,right_only
,,11485,,,,,,,GON,7.80E+11,SUNRISE SAUV/BLANC 750ML,12,750 ML,1,29.5,140,140002,SUNRISE,right_only
,,11486,,,,,,,GON,7.80E+11,SUNRISE CAB/SAUV 750ML,12,750 ML,1,29.5,140,140002,SUNRISE,right_only
,,11487,,,,,,,GON,7.80E+11,FRONTERA CABER SAUVIGNON 750ML,12,750ML,1,30.3,140,140002,FRONTERA,right_only
,,11491,,,,,,,GON,8068683202,SAUZA TEQUILA SILVER 1LT,12,1 LT,1,70,140,140003,SAUZA,right_only
,,11491,,,,,,,GON,8068683201,SAUZA TAQUILA BLANCO 750,12,750 ML,1,82.1,140,140003,SAUZA,right_only
,,11493,,,,,,,GON,8068683102,SAUZA TEQUILA GOLD 750ML,12,750 ML,1,86.2,140,140003,SAUZA,right_only
,,11493,,,,,,,GON,8068683101,SAUZA TEQUILA GOLD 750ML,12,750 ML,1,86.2,140,140003,SAUZA,right_only
,,11494,,,,,,,GON,3.05E+11,VEUVE CLICQUOT CHAMPAGNE 750ML,6,750 ML,1,242.25,140,140002,VEUVE CLICQUOT,right_only
,,11494,,,,,,,GON,3.05E+11,VEUVE BRUT CLICQ CHAMP 750ML,6,750,1,242.25,190,140002,VEUVE,right_only
,,114942,,,,,,,AGF,5210000438,McCORMICK GRND CINNAMON 67G,6,67G,1,15.55,550,550002,MCCORMICK,right_only
,,114942,,,,,,,AGF,524381,McCORMICK GRND CINNAMON 67G,6,67G,1,15.55,550,550002,MCCORMICK,right_only
,,11495,,,,,,,GON,7.80E+11,CASILLERO DEL DIABLO CAB SAUV,12,750 ML,1,42.5,140,140002,CASILLERO DEL D,right_only
,,11496,,,,,,,GON,7.80E+11,CASILLERO DEL DIABLO SAUV BLAN,12,750 ML,1,42.5,140,140002,CASILLERO DEL D,right_only
,,11498,,,,,,,GON,747854,PERRIER WATER 750ML,12,750ML,1,22,190,190001,PERRIER ,right_only
,,11499,,,,,,,GON,747834,PERRIER WATER 330ML,24,330ML,1,15.8,190,190001,PERRIER ,right_only
,,115,,,,,,,NFM,6006,BAKING POWDER,33,,1,8.45,170,170003,,right_only
,,115,,,,,,,OS,9175200115,O/S MUFFIN CHOC CHIP 113G,24,113G,1,5.4,530,530003,OTIS SPUNKMEYER,right_only
,,115-0002-20,,,,,,,FCS,2840002000,SMARTFOOD CHED POPCORN 28.3G,64,28.3G,1,2.3,530,530005,SMARTFOOD,right_only
,,115-0002-36,,,,,,,FCS,2840007098,TOSTITOS QUES/DIP 425.2G,12,425.5,1,15.9,490,530008,TOSTITOS,right_only
,,115-0005-16,,,,,,,FCS,7.50E+11,CHOKIS RELLENA 90G,42,90G,1,2.95,530,530003,CHOKIS,right_only
,,115-0006-15,,,,,,,FCS,7.50E+11,QUAKER GRANOLA COOKIES 163G,18,163G,1,4.25,530,530003,QUAKER,right_only
,,115-0006-18,,,,,,,FCS,7.50E+11,QUAKER RAISIN COOKIES 163G,18,163G,1,4.25,530,530003,QUAKER,right_only
,,115-0007-25,,,,,,,FCS,2840005509,LAYS STAX ORIGINAL 155.9G,17,155.9G,1,11.2,530,530007,LAYS,right_only
,,115-0007-30,,,,,,,FBA,2840005515,LAYS STAX SOUR CREAM&ON 155.9G,17,155.9G,1,11.2,530,530007,LAYS,right_only
,,115-0007-35,,,,,,,FCS,2840005511,LAYS STAX CHEDDAR 155.9G,17,155.9G,1,11.2,530,530007,LAYS,right_only
,,115-0007-40,,,,,,,FCS,2840005510,LAYS STAX MESQUITE BBQ 155.9G,17,155.9G,1,11.2,530,530007,LAYS,right_only
,,115-0007-45,,,,,,,FCS,2840005514,LAYS STAX SALT&VINEGAR 155.9G,17,155.9G,1,11.2,530,530007,LAYS,right_only
,,115-0010-10,,,,,,,PPL,2840001724,CHEETOS CRUNCHY 226G,10,226G,1,15.1,530,530007,CHEETOS ,right_only
,,115-0010-11,,,,,,,FCS,2840006211,CHEETOS CHED&JALAPENO 226G,10,255G,1,15.1,530,530007,CHEETOS,right_only
,,115-0010-13,,,,,,,PPL,2840006960,CHEETOS CRUNCHY F/HOT 226G,10,226G,1,15.1,530,530007,CHEETOS,right_only
,,115-0010-15,,,,,,,FCS,2840002540,CHEETOS PUFFS 9OZ,12,9OZ,1,15.1,530,530007,CHEETOS ,right_only
,,115-0010-18,,,,,,,FCS,2840001729,DORITOS NACHO CHEESE 198G,8,198G,1,15.25,530,530007,DORITOS,right_only
,,115-0010-20,,,,,,,FCS,2840001709,DORITOS COOL RANCH 7OZ,8,,1,15.25,530,530007,DORITOS ,right_only
,,115-0010-25,,,,,,,FCS,2840001714,LAYS CLASSIC POTATO CHIPS 185,15,185G,1,15.25,530,530007,LAYS,right_only
,,115-0010-29,,,,,,,FCS,2840019963,LAYS SOUR CREAM 219.7G,8,219G,1,18.15,530,530007,LAYS,right_only
,,115-0010-32,,,,,,,FCS,2840015269,LAYS CHED/SOUR CREAM 184G,12,184G,1,15.25,530,530007,LAYS,right_only
,,115-0010-34,,,,,,,FCS,2840001750,LAYS SALT&VINEGAR POT CHIP184,15,184G,1,15.25,530,530007,LAYS,right_only
,,115-0010-35,,,,,,,FCS,2840001701,LAYS S/CRM&ONION CHIPS 184G,15,184G,1,15.25,530,530007,LAYS,right_only
,,115-0010-36,,,,,,,FCS,2840001768,LAYS BBQ CHIPS 184G,15,184G,1,15.25,530,530007,LAYS,right_only
,,115-0010-41,,,,,,,FCS,7.46E+11,RUFFLES ORIG 170.09G,12,32G,1,15.75,530,530007,DORITOS,right_only
,,115-0010-43,,,,,,,FCS,2840001705,RUFFLES CHED&SOUR CREAM 6.5Z,15,28.3G,1,15.25,530,530007,LAYS,right_only
,,115-0010-44,,,,,,,FCS,2840003146,RUFFLES SOUR CREAM&ONION 6.5Z,15,28.3G,1,15.25,530,530007,LAYS,right_only
,,115-0010-48,,,,,,,FCS,2840001748,TOSTITOS CRISPY ROUNDS 283G,6,283G,1,19.1,530,530007,TOSTITOS,right_only
,,115-0010-52,,,,,,,FCS,2840007765,TOSTITOS BLUE CORN CHIPS 255G,6,255G,1,18.9,530,530007,TOSTITOS,right_only
,,115-0010-67,,,,,,,FCS,7.46E+11,NATUCHIPS ORIG 33G,84,33G,1,2.5,530,530007,NATUCHIPS,right_only
,,115-0010-72,,,,,,,FCS,2840001742,SUNCHIP HAR/ CHEDDAR 184G,8,184G,1,13.7,530,530007,SUNCHIP,right_only
,,115-0010-75,,,,,,,FCS,2840001740,SUNCHIP FRENCH ONION 184G,8,184G,1,13.7,530,530007,SUNCHIP,right_only
,,115-0010-78,,,,,,,FCS,2840006597,SUNCHIP GARDEN SALSA 184G,8,184G,1,13.7,530,530007,SUNCHIP,right_only
,,115-0011-09,,,,,,,FCS,7.46E+11,DORITOS NACHO CHEESE 32G,60,32G,1,2.1,530,530007,DORITOS,right_only
,,115-0011-10,,,,,,,FCS,2840001990,DORITOS NACHO CHEESE 31.8G,40,31.8G,1,1.95,530,530007,DORITOS,right_only
,,115-0011-11,,,,,,,FCS,7.46E+11,DORITOS PM 32G,60,32G,1,2.35,530,530007,DORITOS,right_only
,,115-0011-12,,,,,,,FCS,2840000356,DORITOS SPICY NACHO 31.8G,40,31.8G,1,1.95,530,530007,DORITOS ,right_only
,,115-0011-16,,,,,,,FCS,2840001992,LAYS CLASSIC 28.3G,60,28.3G,1,2.65,530,530007,LAYS,right_only
,,115-0011-18,,,,,,,FCS,2840007271,LAYS BBQ CHIPS 28.3G,45,28.3G,1,2.7,530,530007,LAYS,right_only
,,115-0011-19,,,,,,,FCS,2840007272,LAYS SOUR CREAM & ONION 28.3G,60,28.3G,1,2.65,530,530007,LAYS,right_only
,,115-0011-24,,,,,,,FCS,7.46E+11,RUFFLES CHED & S/CREAM 28.35G,60,28.35,1,2.35,530,530007,RUFFLES,right_only
,,115-0011-28,,,,,,,FCS,2840002223,CHEETOS CRUNCHY 35G,44,35G,1,2.1,530,530007,CHEETOS,right_only
,,115-0011-29,,,,,,,FCS,7.46E+11,CHEETOS PAWS 21G,60,24G,1,1.85,530,530007,CHEETOS,right_only
,,115-0011-30,,,,,,,FCS,2840003252,CHEETOS HOT CRUNCHY 35G,44,35G,1,2.1,530,530007,CHEETOS,right_only
,,115-0011-31,,,,,,,FCS,7.46E+11,CHEETOS CRUNCHY 35G,60,35G,1,2,530,530007,CHEETOS,right_only
,,115-0011-40,,,,,,,FCS,2840000862,SMARTFOOD POPCORN CHED 155.9G,12,155.9G,1,11.55,530,530007,SMARTFOOD,right_only
,,11502,,,,,,,ASI,3100011502,BANQUET B N S SERVE BEEF 198G,12,198G,1,12.2,340,340002,BANQUET,right_only
,,11506,,,,,,,GON,18357000083,GON W GINGER WINE 750ML,12,750ML,1,20.2,140,140002,,right_only
,,11507,,,,,,,GON,7.80E+11,TRIVENTO MERLOT 750ML,12,750 ML,1,30.5,140,140002,TRIVENTO,right_only
,,11509,,,,,,,GON,7.80E+11,TRIVENTO TRIBU CHARDONNAY 750M,12,750 ML,1,30.5,140,140002,TRIVENTO,right_only
,,11510,,,,,,,AGF,4116350067,EQUALINE MAGNESIUM LMN 296ML ,6,296ML,0,6.15,360,360001,EQUALINE,right_only
,,11510,,,,,,,GON,7.80E+11,FRONTERA SAV/BLANC 750ML,12,750 ML,1,31.1,140,140002,FRONTERA,right_only
,,1151014,,,,,,,COR,7090729860,ROUGH RIDER CONDOMS STD 3S,24,3CT,,3.3,360,360006,CONTEMPO,right_only
,,1151014,,,,,,,COR,71014594841,FP HYDROCORTISONE 1% CREAM 30G,1,3CT,,13.7,360,360006,CONTEMPO,right_only
,,1151015,,,,,,,COR,7090729856,WET  RIDER CONDOMS,6,,,3.3,360,360006,CONTEMPO,right_only
,,1151015,,,,,,,COR,7090729857,BARE  RIDER CONDOMS,6,,,3.3,360,360006,CONTEMPO,right_only
,,1151017,,,,,,,COR,7090700384,ROUGH RIDER LUB LATEX CONDOM3S,48,3CT,0,2.6,360,360006,CONTEMPO,right_only
,,1151018,,,,,,,COR,7090707303,SKYN NON LATEX CONDOM  3S,48,3CT,,10.2,360,360006,CONTEMPO,right_only
,,11511,,,,,,,GON,7.80E+11,FRONTERA CHARDONNAY 75CL,12,75 CL,1,31.1,140,140002,FRONTERA,right_only
,,11512,,,,,,,GON,8981976009,BERINGER PINOT GRIGIO 750ML,15,750 ML,1,35.9,140,140002,BERINGER,right_only
,,11513,,,,,,,GON,7.80E+11,CASILLERO PINOT NOIR 750ML,12,750 ML,1,37.35,140,140002,CASILLERO,right_only
,,11514,,,,,,,GON,8981906824,BERINGER M&V MERLOT 750ML,15,750ML,1,35,140,140002,BERINGER ,right_only
,,11515,,,,,,,GON,7.80E+11,LUIS FELIPE SAUVIGON BLANC 75C,12,75 CL,1,26.95,140,140002,LUIS FELIPE,right_only
,,11516,,,,,,,GON,7.80E+11,LUIS FELIPE CAB/SAUVIGNON 75CC,12,75 CL,1,26.25,140,140002,LUIS FELIPE,right_only
,,11518,,,,,,,GON,8981900652,BERINGER WHITE ZINFANDEL 750ML,15,750 ML,1,35.9,140,140002,BERINGER,right_only
,,1152,,,,,,,GOY,4133101152,GOYA LIGHT OLIVE OIL 88.7ML,36,88.7ML,1,9.55,290,290002,GOYA,right_only
,,11520,,,,,,,GON,8981906822,BERINGER CABERNET SAUV 750ML,15,750ML,1,35,140,140002,BERINGER,right_only
,,11521,,,,,,,GON,7.80E+11,FRONTERA PINOT GRIGIO 750ML,12,750ML,1,30.3,140,140002,FRONTERA,right_only
,,11522,,,,,,,GON,7.80E+11,FRONTERA MOSCATO 750ML,12,750ML,1,31.1,140,140002,FRONTERA,right_only
,,11524,,,,,,,GON,7.79E+11,Fuzion Sweet Red 2022 75cl,12,75cl,1,32.95,140,140002,Fuzion,right_only
KT,,115253,WELCH GRAPE JCE 100%,8/64OZ,1,0,B,999001,AGF,4180020750,WELCH GRAPE JCE PLAS BLT 1.89L,8,1.89LT,1,31.65,190,190002,WELCHS,both
KT,,115253,WELCH GRAPE JCE 100%,8/64OZ,1,0,B,999001,AGF,4180020750,WELCH GRAPE JCE PLAS BLT 1.89L,8,1.89LT,1,31.65,190,190002,WELCHS,both
,,115329,,,,,,,AGF,7045016251,SUNSWEET RTS PRUNES 709G,12,709G,1,10.55,610,610002,SUNSWEET,right_only
,,1154,,,,,,,GOY,4133101154,GOYA LIGHT OLIVE OIL 250ML,25,250ML,1,21.05,290,290002,GOYA,right_only
,,1156,,,,,,,GOY,4133101156,GOYA LIGHT OLIVE OIL 750ML,9,750ML,1,49.95,290,290002,GOYA,right_only
,,1157,,,,,,,KFG,4400001157,RITZ HANDI SNACK 27G,60,27G,1,2.8,530,530007,RITZ,right_only
,,1158,,,,,,,GOY,4133101158,GOYA LIGHT OLIVE OIL 500ML,12,500ML,1,38.35,290,290002,GOYA,right_only
,,115980,,,,,,,AGF,7338512450,RITZ ORANGE-PINEAPPLE 3L,6,3LT,1,15.6,190,190007,RITZ,right_only
,,1159P,,,,,,,PRD,75028,POTATOES 50LB BAG,1,50LB,1,128.85,330,330004,POTATOES,right_only
,,1159P,,,,,,,PRD,6027,POTATOES,50,,1,3.1,330,330004,PRODUCE DIRECT,right_only
,,1159P,,,,,,,SAL,6024,DEFECTIVE POTATOES,50,,1,1.25,330,330004,,right_only
,,1161016,,,,,,,COR,30045044905,TYLENOL XTRA STRENGHT 24 CAPLE,12,24 CT,0,11.65,360,360004,TYLENOL,right_only
,,1162304,,,,,,,COR,30045012304,TYLENOL CHILDRENS CHY BLST 4OZ,1,4 OZ,1,22.15,360,360004,TYLENOL,right_only
,,116269,,,,,,,AGF,4300020556,JELLO S/F CHOC FDG INST PUD39G,24,39G,1,7.5,530,530002,JELL-O,right_only
,,1163P,,,,,,,PRD,3338353610,IDAHO POTATOES 5LB,10,5 LB,1,15.45,330,330004,IDAHO,right_only
,,1163P,,,,,,,PRD,3338353010,IDAHO POTATOES 5LB,10,5 LB,1,15.45,330,330004,IDAHO,right_only
,,1164910,,,,,,,COR,30045044910,TYLENOL EXT STRENGTH CAP 2/500,50,2CT/500MG,,1.15,360,360004,TYLENOL,right_only
,,1164P,,,,,,,PRD,3338353050,DOLE RUSSET POTATOES 10LBS,5,10LB,1,30.95,330,330004,DOLE,right_only
,,1164P,,,,,,,PRD,3338353650,DOLE IDAHO POTATOES 10LBS,5,10LBS,1,30.95,330,330001,DOLE,right_only
KT,,116509,LUVS DIAPER SZ5 NGHT,4/25CT,1,0,W,999001,AGF,3700085926,LUVS STG 5 LEAK PROTECT 25CT,4,25CT,0,40.6,160,160004,LUVS,both
KT,,116509,LUVS DIAPER SZ5 NGHT,4/25CT,1,0,W,999001,AGF,3700085926,LUVS STG 5 LEAK PROTECT 25CT,4,25CT,0,40.6,160,160004,LUVS,both
,,1166,,,,,,,GBR,66507264143,H/RIVER GROUND BEEF 1LB,24,1LB,1,13.75,390,340002,HIGH RIVER,right_only
,,1166,,,,,,,GBR,2000215,GROUND BEEF IMPORTED,24,,1,0,390,390002,BEEF ,right_only
,,1166,,,,,,,GBR,19962139810,CIRC GROUND BEEF 90-10LEAN 452,24,452,1,13.75,340,340002,CIRCLE BRAND,right_only
,,1166,,,,,,,GBR,79357394701,CIRC GROUND BEEF 80-20 LEAN452,24,452,1,13.75,340,340002,CIRCLE BRAND,right_only
,,116665,,,,,,,AGF,1116115066,S/FINE ELBOW MACARONI 454G,20,454G,1,4.05,600,600003,SHURFINE,right_only
,,116681,,,,,,,AGF,7239294224,FLA.VOR.ICE 6 FRTY FLAV 24/42G,12,24/42G,1,7.9,340,340006,FLA. VOR. ICE ,right_only
,,116756,,,,,,,AGF,3940001590,BUSHS BAKED BEANS H/S 235G,12,235G,1,6.35,610,610004,BUSHS,right_only
,,116822,,,,,,,AGF,1116115067,S/FINE LONG SPAGHETTI 454G,20,454G,1,4.05,600,600002,SHURFINE,right_only
,,11684,,,,,,,OSV,63551596602,QC CHILDRENS ALLERGY B/G 118M,12,118,,11.95,360,360005,QC ,right_only
,,11685,,,,,,,OSV,63551595773,QC CHILDRENS MUCUS RELIEF 118,6,118,,16.6,360,360003,QC ,right_only
,,116889,,,,,,,AGF,2500000906,HI-C STRAWBERRY KIWI DR 200ML,4,200ML,1,12.2,190,190002,HI-C ,right_only
,,116966,,,,,,,AGF,1680022823,ROYAL OAK LUMP CHARCOAL3.62KG,4,3.62KG,1,33.15,370,370013,ROYAL OAK,right_only
,,116996,,,,,,,AGF,1680022871,ROYAL OAK LUMP CHAR 4KG,4,4KG,1,34.45,370,370013,ROYAL OAK,right_only
KT,,117127,OS CRANAPPLE JC 8/64, ,1,0,E,999001,AGF,3120021007,OCEAN SPRAY CRANAPPLE JC 1.89L,8,1.89LT,1,27.6,190,190002,OCEAN SPRAY,both
,,117143,,,,,,,AGF,2400016311,DM PEAS&CARROTS 411G,12,411G,1,9.8,610,610001,DEL MONTE,right_only
,,117150,,,,,,,AGF,7338510150,RITZ COLA 3L,6,3LT,1,15.6,190,190007,RITZ,right_only
,,117176,,,,,,,AGF,3890000947,DOLE PINEAPPLE JUICE 6 OZ,48,177 ML,1,3.1,190,190002,DOLE,right_only
,,117184,,,,,,,AGF,3120020007,OCEAN SPRAY CRANBERRY JC 1.89L,8,1.89LT,1,27.6,190,190002,OCEAN SPRY,right_only
,,1171P,,,,,,,PRD,3338346287,RED POTATOES 5LBS,10,5,1,19.7,330,330001,,right_only
,,1172,,,,,,,HUN,5200001172,VAN CAMP PORK & BEANS 227G,24,227G,1,7.6,610,610004,VAN CAMPS,right_only
,,117200,,,,,,,AGF,3890000818,DOLE PINEAPPLE JUICE 1.36L,12,1.36LT,1,17.6,190,190002,DOLE,right_only
,,1172108,,,,,,,FTI,1115310632,F/TOWN 2 LARGE SPONGES,24,2,1,9.05,370,370003,FOODTOWN,right_only
,,1172120,,,,,,,FTI,1115310633,F/TOWN 1 GIANT SPONGE,24,1,1,6.35,370,370003,FOODTOWN,right_only
,,1172122,,,,,,,FTI,1115311133,F/TOWN 2 SCOURING PADS 2CT,24,2CT,1,7.55,370,370003,FOODTOWN,right_only
,,1172194,,,,,,,FTI,1115311120,F/TOWN KITCHEN SPONGE SCRUBBER,24,,1,6.35,370,370003,FOODTOWN,right_only
,,1172331,,,,,,,FTI,1115323429,F/TOWN  REAL MAYO 887ML,12,887ML,1,27.6,280,280006,FOODTOWN,right_only
,,117242,,,,,,,AGF,6414404717,CHEF BOYRD SPAG & M/BALL 212G,12,212G,1,8.7,610,610008,CHEF BOYARDEE,right_only
,,1173294,,,,,,,FTI,1115311122,F/TOWN TUB&SINK SPONGE SCRUBBE,12,,1,3.85,370,370003,FOODTOWN,right_only
,,1173298,,,,,,,FTI,1115311130,F/TOWN CLEANING PAD MULTI PUR,18,,1,3.45,370,370003,FOODTOWN,right_only
,,117440,,,,,,,AGF,3732312065,MUSSELMAN PREM APPLE JC 1.89L,8,1.89L,1,12.4,190,190002,MUSSELMAN,right_only
,,117515,,,,,,,AGF,1700002410,DIAL BODY BAR WHITE 3/113G,18,3X113G,1,15.45,180,180004,DIAL ,right_only
,,117515,,,,,,,AGF,1700001840,DIAL ANTIBAC SOAP S/WATER 3BAR,18,3CT,1,15.45,180,180004,DIAL ,right_only
,,117598,,,,,,,AGF,525461,McCORMICK LEMON&PEPPER 99G,6,99G,1,12.1,550,550002,MCCORMICK,right_only
,,1176,,,,,,,CTL,5.06E+11,WICKS MANOR UNSMK BACK BAC250G,20,454G,1,17.58,340,340002,BLACKMAN,right_only
,,117606,,,,,,,AGF,7045011329,SUNSWEET PRUNE JC W/PULP 946ML,12,946ML,1,16.9,190,190002,SUNSWEET,right_only
,,117689,,,,,,,AGF,7402707546,POLAR CHUNK PINEAPPLE 565G,24,565G,1,5.85,610,610002,POLAR,right_only
,,117739,,,,,,,AGF,5210006210,MCCORM MEAT TENDZR UNSEASN 95G,12,95G,1,18.6,550,550002,MCCORMICK,right_only
KT,,117754,MC CORM TEXMEX CHILI,12/1.25 OZ,1,0,X,999004,AGF,5210010779,MC CORMICK  TEX MEX CHILI 35G,12,35G,1,8.6,550,550006,MCCORMICK,both
KT,,117754,MC CORM TEXMEX CHILI,12/1.25 OZ,1,0,X,999004,AGF,5210010779,MC CORMICK  TEX MEX CHILI 35G,12,35G,1,8.6,550,550006,MCCORMICK,both
,,1177A,,,,,,,CTL,5.06E+11,WICKS MANOR SMK BACK BACON250G,20,454G,1,17.92,340,340002,BLACKMAN,right_only
,,1177P,,,,,,,PRD,3338367000,RADISH 170G,30,170,1,4.8,330,330001,JAG,right_only
,,117804,,,,,,,AGF,7338513550,RITZ PEACH 3L,6,3LT,1,15.6,190,190007,RITZ,right_only
,,117820,,,,,,,AGF,7338510250,RITZ GRAPE 3L,6,3LT,1,15.6,190,190007,RITZ,right_only
,,1178P,,,,,,,PRD,3338367002,RADISH 454G,14,454G,1,11.85,330,330001,JAG,right_only
,,117960,,,,,,,AGF,5210008980,MCCORMICK HERB GRAVY F/BEEF28G,12,28G,1,6.95,490,490004,MCCORMICK,right_only
,,117994,,,,,,,AGF,5210076069,GRILL MATES MONTREAL STEAK 20G,12,20G,1,7.45,550,550004,MC CORMICK,right_only
,,1179P,,,,,,,PRD,2001011,RADISH ,40,454G,1,0,330,330001,JAG,right_only
,,118059,,,,,,,AGF,7045011328,SUNSWEET PRUNE JUICE 946ML,12,946ML,1,17.3,190,190002,SUNSWEET,right_only
KT,,118349,MCCORMICK WHL CLOVES,6/43G,1,0,E,999004,AGF,522341,MCCORMICK WHOLE CLOVES 17G,6,17G,1,30.8,550,550002,MCCORMICK,both
KT,,118349,MCCORMICK WHL CLOVES,6/43G,1,0,E,999004,AGF,522341,MCCORMICK WHOLE CLOVES 17G,6,17G,1,30.8,550,550002,MCCORMICK,both
,,118620,,,,,,,AGF,5350011071,B/BIRD UNSWT ORANGE JUICE 46OZ,12,46OZ,1,18.05,190,190002,BLUE BIRD,right_only
,,118711,,,,,,,AGF,5350000368,B/BIRD UNSWT ORANGE JC 6/163ML,4,163ML/6CT,1,13.88,190,190002,BLUE BIRD,right_only
,,118729,,,,,,,AGF,5350000367,B/BIRD UNSW GRAPEFRUIT J6/163M,12,163ML/6CT,1,13.22,190,190002,BLUE BIRD,right_only
,,118737,,,,,,,AGF,528431,MCCORMICK SF GARLIC & HERB 77G,6,77G,1,13.3,550,550002,MCCORMICK ,right_only
,,118745,,,,,,,AGF,529881,SPICE CLASSICS VANILLA EXT 29M,12,29ML,1,10.5,170,170010,SPICE CLASSICS ,right_only
,,1187P,,,,,,,PRD,4126821749,GRAPE TOMATOES ,16,,1,18.25,330,330001,SUNSET,right_only
,,1187P,,,,,,,PRD,60610543770,GRAPE TOMATOES ,16,,1,18.25,330,330001,VILLAGE,right_only
,,1187P,,,,,,,PRD,3338365592,GRAPE TOMATOES,10,10,1,18.25,330,330001,SUNSET,right_only
,,1187P,,,,,,,PRD,5783602090,GRAPE TOMATOES ,16,,1,18.25,330,330001,SUNSET,right_only
,,1187P,,,,,,,PRD,5783665585,GRAPE TOMATOES ,16,,1,18.25,330,330001,SUNSET,right_only
,,1187P,,,,,,,PRD,68925900326,GRAPE TOMATOES ,16,,1,18.25,330,330001,SUNSET,right_only
,,1187P,,,,,,,PRD,60610511265,GRAPE TOMATOES ,16,,1,18.25,330,330001,SOTOLONGO FARMS,right_only
,,118803,,,,,,,OTC,6038312211,PC GLUT FREE ORIG P/CAKE M400G,10,400,1,19.85,170,170004,PRESIDENT CHOIC,right_only
,,1188P,,,,,,,PRD,62845157212,CHERRY TOMATOES ,1,,1,17.8,330,330001,SOTOLONGO FARMS,right_only
,,1190,,,,,,,GOY,4133101190,GOYA BALSAMIC VINEGAR 250ML,9,250ML,1,17.7,290,290003,GOYA,right_only
,,119115,,,,,,,AGF,5210000626,MC CORMICK GARLIC POWDER 88G,6,88,1,19.5,550,550006,MC CORMICK,right_only
,,119135,,,,,,,OTC,6038398565,PC SALAD TOP ASIAN BLEND 100G,8,100G,1,11.4,600,600007,PRESIDENT CHOIC,right_only
,,119248,,,,,,,AGF,7576000102,SYFO ORIG SELTZER 2LT,8,2LT,1,11.35,190,190002,SYFO,right_only
