Loc,Mfg,item,description,ext_desc,avail_o/h ,Comm_O/H,RANK,AISLE_ZONEBIN,vendor_id,plu_number,product_description,case_pack_size,size_desc,tax_flag, retail_price ,sub_department_number,sub_category_number,brand_identity,_merge
,,045799AG,,,,,,,AG,1312001417,OREIDA EX CRISP F/FRY POT 737G,12,737G,1,16.4,340,340003,ORE-IDA GOLD,right_only
,,04660U,,,,,,,NES,5000004661,NESTLE GOOD START 2 SUPRM 340G,6,340G,0,18.7,160,160002,NESTLE,right_only
,,05126-583,,,,,,,HAP,4150819277,SAN PELLEGRINO G/FRUIT 330ML,24,330ML,1,7.5,190,190001,SAN PELLEGRINO,right_only
,,055723AG,,,,,,,AG,4154900361,ROSETTO SML CHSE RAVIOLI 680G,6,680G,1,25.3,340,340005,ROSETTO,right_only
,,058529A,,,,,,,AGF,89824800111,SIGGIS PEACH YOGURT 5.3 OZ,12,5.3 OZ,1,7.15,310,260001,SIGGIS ,right_only
,,05905-326,,,,,,,HAP,4300005905,TANG 6QT ORANGE P/APPL MIX566G,12,566G,1,22.45,190,190005,TANG,right_only
,,05919WH,,,,,,,HAP,5100002550,CAMPBELLS BEEF GRAVY 298G,12,298G,1,8.85,490,490003,CAMPBELLS,right_only
,,06451-326,,,,,,,HAP,4300006451,TANG 6QT GUAVA/PAPPLE MIX 566G,12,566G,1,29.9,190,190005,TANG,right_only
,,06452-326,,,,,,,HAP,4300006452,TANG 6QT ORANGE/STRAWB MIX566G,12,566G,1,29.9,190,190005,TANG,right_only
,,08829-06026,,,,,,,PRO,80882906026,LUCKY TRASH BAGS 33 GAL 7CT,36,3 BAGS,1,3.5,370,370008,REYNOLDS,right_only
,,090274A,,,,,,,AGF,136240,HEINZ INDIAN RELISH 296ML,12,296ML,1,10,280,280003,HEINZ,right_only
,,090910 OR SCJ10359,,,,,,,AGF,2570010359,SARAN QUICK COVER 10PK VARIETY,8,10PK,1,17.1,430,430007,SARAN,right_only
,,091207A,,,,,,,AGF,415423,FRENCHS SPICY BRWN MUSTARD  ,12,340G,1,10,280,280002,FRENCHS,right_only
,,09377-567,,,,,,,HAP,5070000937,LIFE GD ALUMINUM FOIL 25 SQ.FT,35,25SQFT,1,7.95,430,430007,LIFE GOODS,right_only
,,09384-567,,,,,,,HAP,5070000938,LIFE GD ALUMINUM FOIL 75SQ.FT,35,75SQFT,1,20.55,430,430007,LIFE GOODS,right_only
,,09391-567,,,,,,,HAP,5070000939,LIFE GD ALUMINUM FOIL200 SQ.FT,12,200SQFT,1,50.2,430,430007,LIFE GOODS,right_only
,,09414-567,,,,,,,HAP,5070000941,LIFE GD ALUM H/D FOIL 50 SQ.FT,35,50SQFT,1,20,430,430007,LIFE GOODS,right_only
,,09421-567,,,,,,,HAP,5070000942,LIFE GD PARCHMENT PAPER 45SQFT,24,45 SQFT,1,14.9,430,430007,LIFE GOODS,right_only
KT, ,1,BAD GARLIC POWD12/10, ,4,0,A,999004,BAD,3384400001,BADIA GARLIC POWDER 198.5G,12,198.5G,1,13.1,550,550002,BADIA,both
,,1E+13,,,,,,,AGF,3700031821,SWIFFER DRY SWEEP CLOTHS 16CT,12,16 CT,1,24.25,370,370011,SWIFFER,right_only
,,1E+13,,,,,,,AGF,3700074961,PAMPERS SWADDLER SZ 6 16CT,4,16CT,0,55.1,160,160004,PAMPERS ,right_only
,,1E+13,,,,,,,PGC,3700087560,TIDE+ ULT STAIN REL ORIG 1.36L,6,1.36LT,0,46.55,370,370001,TIDE,right_only
,,1E+13,,,,,,,PGC,3700087515,TIDE+ ULT SPORT ODOR DEF1.36LT,6,1.36LT,0,42.55,370,370001,TIDE,right_only
,,1E+13,,,,,,,PGC,3700087586,TIDE+ FEB SPRING & RENEW 1.36L,6,1.36LT,0,43.4,370,370001,TIDE,right_only
,,1E+13,,,,,,,PGC,3700040212,TIDE LIQ LAUND ORIG H/E 1.36LT,6,109L,0,47.7,370,370001,TIDE,right_only
,,1E+13,,,,,,,PGC,3700092811,SWIFFER WET JET 1BTL/5PAD,2,1BTL/5PAD,1,125.1,370,370002,SWIFFER,right_only
,,1E+13,,,,,,,PGC,3700035155,SWIFFER SWEEPER 24 WET CLOTHS,6,24CT,1,46.15,370,370003,SWIFFER,right_only
,,1E+13,,,,,,,PGC,3700012340,SECRET UNSCENTED INV SOLID 73G,12,73G,1,21.1,180,180005,SECRET,right_only
,,1E+13,,,,,,,PGC,3700012430,SECRET SPRING BRZ INV SOLID73G,12,73G,1,21.1,180,180005,SECRET,right_only
,,1E+13,,,,,,,PGC,3700012345,SECRET SHOW FRESH INV SOL 73G,12,73G,1,21.1,180,180005,SECRET,right_only
,,1E+13,,,,,,,PGC,3700012335,SECRET SHEER CLN INV SOLID 73G,12,73G,1,21.1,180,180005,SECRET,right_only
,,1E+13,,,,,,,PGC,3700012343,SECRET POWDER FRESH INV SOL73G,12,73G,1,21.1,180,180005,SECRET,right_only
,,1E+13,,,,,,,PGC,3700012451,SECRET POWD FRSH SOLID 73G,12,73G,1,17.5,180,180005,SECRET,right_only
,,1E+13,,,,,,,PGC,3700012331,SECRET POWD FRSH INVIS SOL45G,12,45G,1,15.75,180,180005,SECRET,right_only
,,1E+13,,,,,,,PGC,3700086212,PAMPERS BABY DRY SZ 5 24CT,4,24CT,0,55.1,160,160004,PAMPERS,right_only
,,1E+13,,,,,,,PGC,3700086209,PAMPERS BABY DRY SZ 2 37CT,4,37CT,0,50.25,160,160004,PAMPERS,right_only
,,1E+13,,,,,,,PGC,3700075477,PAMPER B/WIPES B/FRSH3PK216CT ,4,3PK/216,1,41.65,160,160003,PAMERS,right_only
,,1E+13,,,,,,,PGC,1204403750,OLD SPICE PURE SPORT V&LMN 85G,12,85G,1,28.85,180,180005,OLD SPICE ,right_only
,,1E+13,,,,,,,PGC,1204403888,OLD SPICE ORIG HI END DEOD 85G,12,85G,1,21.35,180,180005,OLD SPICE ,right_only
,,1E+13,,,,,,,PGC,1204403891,OLD SPICE H/E PURE SPORT 85G,12,85G,1,20.5,180,180005,OLD SPICE,right_only
,,1E+13,,,,,,,PGC,1204403884,OLD SPICE FRESH DEOD 85G,12,85G,1,20.85,180,180005,OLD SPICE ,right_only
,,1E+13,,,,,,,PGC,3700078429,MR CLEAN W FEBREZE MNR 45OZ,6,45 OZ,1,21.15,370,370002,MR CLEAN,right_only
,,1E+13,,,,,,,PGC,3700091981,IVORY ORIG BODY WASH 354ML,6,354ML,1,14.4,180,180004,IVORY,right_only
,,1E+13,,,,,,,PGC,3700091982,IVORY ALOE SC BODY WASH 354ML,6,354ML,1,11.35,180,180004,IVORY,right_only
,,1E+13,,,,,,,PGC,3077206286,HEAD&SH ITCHY SCALP 2IN1 370ML,6,370ML,1,28.8,180,180003,HEAD&SHOULDERS,right_only
,,1E+13,,,,,,,PGC,3700094389,HEAD&SH COND CLASS CLN 325ML,12,325ML,1,27.45,180,180003,HEAD&SHOULDERS,right_only
,,1E+13,,,,,,,PGC,4740064851,GILLETTE MACH3 1RAZOR/1CART,36,1 KIT,1,35.8,180,180006,GILLETTE,right_only
,,1E+13,,,,,,,PGC,3700084919,GAIN ULT ORIG120LOAD 3.9KG,2,3.9KG,0,104.15,370,370001,GAIN,right_only
,,1E+13,,,,,,,PGC,3700099929,GAIN ULT ORIG FAB SOFT 1.53L,8,1.53LT,1,25.3,370,370001,GAIN,right_only
,,1E+13,,,,,,,PGC,3700084932,GAIN ORIGINAL 40LOAD 1.3KG,4,1.3KG,0,36.25,370,370001,GAIN,right_only
,,1E+13,,,,,,,PGC,3700055861,GAIN ORIGINAL 1.36LT,6,1.36LT,0,34.1,370,370001,GAIN ,right_only
,,1E+13,,,,,,,PGC,3700084930,GAIN ISLAND FRESH 40LOAD 1.3KG,4,1.3KG,0,35.4,370,370001,GAIN,right_only
,,1E+13,,,,,,,PGC,3700097618,GAIN D/WASH ORIGINAL 638ML,10,638ML,0,9.95,370,370004,GAIN ,right_only
,,1E+13,,,,,,,PGC,3700084915,GAIN 80LD ISLAND FRSH POW2.6KG,3,2.6KG,0,70.85,370,370001,GAIN,right_only
,,1E+13,,,,,,,PGC,3700097082,FEBREZE UNSTOPBLE AIR FRSH250G,6,250G,1,17.75,370,370006,FEBREZE,right_only
